"Plot Title: 20432185_TidbiTv2_LOGGER1"
"#","Date Time, GMT-07:00","Avg: Temperature, °C (LGR S/N: 20432185)","Coupler Detached (LGR S/N: 20432185)","Coupler Attached (LGR S/N: 20432185)","Stopped (LGR S/N: 20432185)","End Of File (LGR S/N: 20432185)"
315,03/13/19 11:44:00 AM,15.223,,,,
316,03/13/19 11:54:00 AM,15.318,,,,
317,03/13/19 12:04:00 PM,15.127,,,,
318,03/13/19 12:14:00 PM,15.151,,,,
319,03/13/19 12:24:00 PM,15.294,,,,
320,03/13/19 12:34:00 PM,15.414,,,,
321,03/13/19 12:44:00 PM,15.127,,,,
322,03/13/19 12:54:00 PM,15.199,,,,
323,03/13/19 01:04:00 PM,15.438,,,,
324,03/13/19 01:14:00 PM,15.485,,,,
325,03/13/19 01:24:00 PM,15.199,,,,
326,03/13/19 01:34:00 PM,15.175,,,,
327,03/13/19 01:44:00 PM,15.270,,,,
328,03/13/19 01:54:00 PM,15.366,,,,
329,03/13/19 02:04:00 PM,15.390,,,,
330,03/13/19 02:14:00 PM,15.199,,,,
331,03/13/19 02:24:00 PM,15.127,,,,
332,03/13/19 02:34:00 PM,15.199,,,,
333,03/13/19 02:44:00 PM,15.390,,,,
334,03/13/19 02:54:00 PM,15.175,,,,
335,03/13/19 03:04:00 PM,15.199,,,,
336,03/13/19 03:14:00 PM,15.342,,,,
337,03/13/19 03:24:00 PM,15.175,,,,
338,03/13/19 03:34:00 PM,15.223,,,,
339,03/13/19 03:44:00 PM,15.223,,,,
340,03/13/19 03:54:00 PM,15.151,,,,
341,03/13/19 04:04:00 PM,15.294,,,,
342,03/13/19 04:14:00 PM,15.151,,,,
343,03/13/19 04:24:00 PM,15.223,,,,
344,03/13/19 04:34:00 PM,15.175,,,,
345,03/13/19 04:44:00 PM,15.175,,,,
346,03/13/19 04:54:00 PM,15.318,,,,
347,03/13/19 05:04:00 PM,15.223,,,,
348,03/13/19 05:14:00 PM,15.223,,,,
349,03/13/19 05:24:00 PM,15.199,,,,
350,03/13/19 05:34:00 PM,15.103,,,,
351,03/13/19 05:44:00 PM,15.127,,,,
352,03/13/19 05:54:00 PM,15.318,,,,
353,03/13/19 06:04:00 PM,15.175,,,,
354,03/13/19 06:14:00 PM,15.223,,,,
355,03/13/19 06:24:00 PM,15.247,,,,
356,03/13/19 06:34:00 PM,15.127,,,,
357,03/13/19 06:44:00 PM,15.318,,,,
358,03/13/19 06:54:00 PM,15.294,,,,
359,03/13/19 07:04:00 PM,15.270,,,,
360,03/13/19 07:14:00 PM,15.318,,,,
361,03/13/19 07:24:00 PM,15.247,,,,
362,03/13/19 07:34:00 PM,15.127,,,,
363,03/13/19 07:44:00 PM,15.175,,,,
364,03/13/19 07:54:00 PM,15.414,,,,
365,03/13/19 08:04:00 PM,15.294,,,,
366,03/13/19 08:14:00 PM,15.342,,,,
367,03/13/19 08:24:00 PM,15.318,,,,
368,03/13/19 08:34:00 PM,15.223,,,,
369,03/13/19 08:44:00 PM,15.342,,,,
370,03/13/19 08:54:00 PM,15.342,,,,
371,03/13/19 09:04:00 PM,15.223,,,,
372,03/13/19 09:14:00 PM,15.342,,,,
373,03/13/19 09:24:00 PM,15.199,,,,
374,03/13/19 09:34:00 PM,15.199,,,,
375,03/13/19 09:44:00 PM,15.342,,,,
376,03/13/19 09:54:00 PM,15.247,,,,
377,03/13/19 10:04:00 PM,15.199,,,,
378,03/13/19 10:14:00 PM,15.318,,,,
379,03/13/19 10:24:00 PM,15.390,,,,
380,03/13/19 10:34:00 PM,15.199,,,,
381,03/13/19 10:44:00 PM,15.270,,,,
382,03/13/19 10:54:00 PM,15.414,,,,
383,03/13/19 11:04:00 PM,15.223,,,,
384,03/13/19 11:14:00 PM,15.223,,,,
385,03/13/19 11:24:00 PM,15.366,,,,
386,03/13/19 11:34:00 PM,15.270,,,,
387,03/13/19 11:44:00 PM,15.199,,,,
388,03/13/19 11:54:00 PM,15.294,,,,
389,03/14/19 12:04:00 AM,15.342,,,,
390,03/14/19 12:14:00 AM,15.175,,,,
391,03/14/19 12:24:00 AM,15.223,,,,
392,03/14/19 12:34:00 AM,15.390,,,,
393,03/14/19 12:44:00 AM,15.294,,,,
394,03/14/19 12:54:00 AM,15.223,,,,
395,03/14/19 01:04:00 AM,15.318,,,,
396,03/14/19 01:14:00 AM,15.485,,,,
397,03/14/19 01:24:00 AM,15.294,,,,
398,03/14/19 01:34:00 AM,15.270,,,,
399,03/14/19 01:44:00 AM,15.390,,,,
400,03/14/19 01:54:00 AM,15.366,,,,
401,03/14/19 02:04:00 AM,15.223,,,,
402,03/14/19 02:14:00 AM,15.318,,,,
403,03/14/19 02:24:00 AM,15.461,,,,
404,03/14/19 02:34:00 AM,15.175,,,,
405,03/14/19 02:44:00 AM,15.605,,,,
406,03/14/19 02:54:00 AM,16.177,,,,
407,03/14/19 03:04:00 AM,15.843,,,,
408,03/14/19 03:14:00 AM,15.819,,,,
409,03/14/19 03:24:00 AM,15.390,,,,
410,03/14/19 03:34:00 AM,15.366,,,,
411,03/14/19 03:44:00 AM,15.485,,,,
412,03/14/19 03:54:00 AM,15.629,,,,
413,03/14/19 04:04:00 AM,15.438,,,,
414,03/14/19 04:14:00 AM,15.509,,,,
415,03/14/19 04:24:00 AM,15.963,,,,
416,03/14/19 04:34:00 AM,16.010,,,,
417,03/14/19 04:44:00 AM,15.676,,,,
418,03/14/19 04:54:00 AM,15.461,,,,
419,03/14/19 05:04:00 AM,15.223,,,,
420,03/14/19 05:14:00 AM,15.294,,,,
421,03/14/19 05:24:00 AM,15.438,,,,
422,03/14/19 05:34:00 AM,15.557,,,,
423,03/14/19 05:44:00 AM,15.509,,,,
424,03/14/19 05:54:00 AM,15.294,,,,
425,03/14/19 06:04:00 AM,15.318,,,,
426,03/14/19 06:14:00 AM,15.485,,,,
427,03/14/19 06:24:00 AM,15.247,,,,
428,03/14/19 06:34:00 AM,15.199,,,,
429,03/14/19 06:44:00 AM,15.294,,,,
430,03/14/19 06:54:00 AM,15.438,,,,
431,03/14/19 07:04:00 AM,15.390,,,,
432,03/14/19 07:14:00 AM,15.223,,,,
433,03/14/19 07:24:00 AM,15.294,,,,
434,03/14/19 07:34:00 AM,15.414,,,,
435,03/14/19 07:44:00 AM,15.461,,,,
436,03/14/19 07:54:00 AM,15.270,,,,
437,03/14/19 08:04:00 AM,15.294,,,,
438,03/14/19 08:14:00 AM,15.414,,,,
439,03/14/19 08:24:00 AM,15.557,,,,
440,03/14/19 08:34:00 AM,15.294,,,,
441,03/14/19 08:41:43 AM,,,Logged,,
442,03/14/19 08:41:53 AM,,,,Logged,Logged
