"Plot Title: 11-14MAR19_LightTempLogger_CH04"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20454915, SEN S/N: 20454915)","Intensity, lum/ft² (LGR S/N: 20454915, SEN S/N: 20454915)","Coupler Attached (LGR S/N: 20454915)","Coupler Detached (LGR S/N: 20454915)","Stopped (LGR S/N: 20454915)","End Of File (LGR S/N: 20454915)"
360,03/13/19 07:17:52 PM,15.187,0.0,,,,
361,03/13/19 07:27:52 PM,15.282,0.0,,,,
362,03/13/19 07:37:52 PM,15.187,0.0,,,,
363,03/13/19 07:47:52 PM,15.282,0.0,,,,
364,03/13/19 07:57:52 PM,15.187,0.0,,,,
365,03/13/19 08:07:52 PM,15.282,0.0,,,,
366,03/13/19 08:17:52 PM,15.091,0.0,,,,
367,03/13/19 08:27:52 PM,15.187,0.0,,,,
368,03/13/19 08:37:52 PM,15.378,0.0,,,,
369,03/13/19 08:47:52 PM,15.187,0.0,,,,
370,03/13/19 08:57:52 PM,15.282,0.0,,,,
371,03/13/19 09:07:52 PM,15.378,0.0,,,,
372,03/13/19 09:17:52 PM,15.282,0.0,,,,
373,03/13/19 09:27:52 PM,15.282,0.0,,,,
374,03/13/19 09:37:52 PM,15.473,0.0,,,,
375,03/13/19 09:47:52 PM,15.378,0.0,,,,
376,03/13/19 09:57:52 PM,15.378,0.0,,,,
377,03/13/19 10:07:52 PM,15.473,0.0,,,,
378,03/13/19 10:17:52 PM,15.378,0.0,,,,
379,03/13/19 10:27:52 PM,15.378,0.0,,,,
380,03/13/19 10:37:52 PM,15.473,0.0,,,,
381,03/13/19 10:47:52 PM,15.378,0.0,,,,
382,03/13/19 10:57:52 PM,15.378,0.0,,,,
383,03/13/19 11:07:52 PM,15.378,0.0,,,,
384,03/13/19 11:17:52 PM,15.473,0.0,,,,
385,03/13/19 11:27:52 PM,15.473,0.0,,,,
386,03/13/19 11:37:52 PM,15.378,0.0,,,,
387,03/13/19 11:47:52 PM,15.473,0.0,,,,
388,03/13/19 11:57:52 PM,15.569,0.0,,,,
389,03/14/19 12:07:52 AM,15.378,0.0,,,,
390,03/14/19 12:17:52 AM,15.378,0.0,,,,
391,03/14/19 12:27:52 AM,15.473,0.0,,,,
392,03/14/19 12:37:52 AM,15.473,0.0,,,,
393,03/14/19 12:47:52 AM,15.378,0.0,,,,
394,03/14/19 12:57:52 AM,15.378,0.0,,,,
395,03/14/19 01:07:52 AM,15.473,0.0,,,,
396,03/14/19 01:17:52 AM,15.378,0.0,,,,
397,03/14/19 01:27:52 AM,15.378,0.0,,,,
398,03/14/19 01:37:52 AM,15.473,0.0,,,,
399,03/14/19 01:47:52 AM,15.569,0.0,,,,
400,03/14/19 01:57:52 AM,15.473,0.0,,,,
401,03/14/19 02:07:52 AM,15.378,0.0,,,,
402,03/14/19 02:17:52 AM,15.473,0.0,,,,
403,03/14/19 02:27:52 AM,15.473,0.0,,,,
404,03/14/19 02:37:52 AM,15.378,0.0,,,,
